product_id,name,category,price
1,Product_1,Clothing,260.95
2,Product_2,Books,149.06
3,Product_3,Clothing,484.34
4,Product_4,Electronics,222.73
5,Product_5,Books,278.97
6,Product_6,Clothing,396.66
7,Product_7,Clothing,79.08
8,Product_8,Clothing,194.09
9,Product_9,Clothing,258.64
10,Product_10,Books,39.28
11,Product_11,Books,474.44
12,Product_12,Electronics,344.98
13,Product_13,Clothing,264.41
14,Product_14,Clothing,334.86
15,Product_15,Electronics,379.63
16,Product_16,Books,420.67
17,Product_17,Clothing,488.84
18,Product_18,Clothing,317.28
19,Product_19,Clothing,281.43
20,Product_20,Clothing,448.36
