review_id,user_id,product_id,rating,comment
1,175,227,5,This is SQL comment for product 184
2,249,275,1,This is SQL comment for product 73
3,33,190,4,This is SQL comment for product 156
4,278,31,3,This is SQL comment for product 33
5,59,284,2,This is SQL comment for product 77
6,215,19,3,This is SQL comment for product 151
7,53,292,1,This is SQL comment for product 283
8,131,93,1,This is SQL comment for product 44
9,156,60,4,This is SQL comment for product 176
10,61,50,4,This is SQL comment for product 186
11,234,28,3,This is SQL comment for product 184
12,174,95,4,This is SQL comment for product 128
13,218,122,2,This is SQL comment for product 277
14,298,53,5,This is SQL comment for product 238
15,147,25,3,This is SQL comment for product 69
16,19,14,1,This is SQL comment for product 238
17,85,5,2,This is SQL comment for product 225
18,245,89,2,This is SQL comment for product 250
19,129,26,1,This is SQL comment for product 105
20,227,121,1,This is SQL comment for product 282
21,158,255,4,This is SQL comment for product 100
22,121,292,2,This is SQL comment for product 274
23,55,243,2,This is SQL comment for product 256
24,32,56,2,This is SQL comment for product 250
25,9,128,4,This is SQL comment for product 176
26,105,284,1,This is SQL comment for product 87
27,292,37,3,This is SQL comment for product 27
28,297,34,2,This is SQL comment for product 84
29,82,138,4,This is SQL comment for product 217
30,97,142,4,This is SQL comment for product 1
31,293,79,4,This is SQL comment for product 10
32,235,298,5,This is SQL comment for product 259
33,292,283,4,This is SQL comment for product 60
34,260,24,2,This is SQL comment for product 182
35,221,276,2,This is SQL comment for product 82
36,52,119,4,This is SQL comment for product 34
37,83,243,1,This is SQL comment for product 4
38,203,108,1,This is SQL comment for product 5
39,50,92,1,This is SQL comment for product 247
40,229,259,3,This is SQL comment for product 225
41,45,73,1,This is SQL comment for product 292
42,139,50,1,This is SQL comment for product 229
43,238,151,1,This is SQL comment for product 28
44,63,94,1,This is SQL comment for product 90
45,39,177,5,This is SQL comment for product 109
46,14,272,1,This is SQL comment for product 81
47,280,81,4,This is SQL comment for product 37
48,42,260,1,This is SQL comment for product 290
49,142,62,1,This is SQL comment for product 125
50,172,210,1,This is SQL comment for product 225
51,279,176,5,This is SQL comment for product 282
52,14,141,2,This is SQL comment for product 211
53,115,27,5,This is SQL comment for product 86
54,263,74,3,This is SQL comment for product 69
55,259,292,4,This is SQL comment for product 210
56,204,11,2,This is SQL comment for product 233
57,296,201,4,This is SQL comment for product 248
58,35,280,2,This is SQL comment for product 210
